51,3207,-1,86,7,11,0.17
0,234,-1,87,7,10,0.66
1,1,0,83,7,10,0.89
2,1464,2,84,8,10,0.94
3,0,3,87,8,7,0.77
4,168,5,85,9,13,0.77
5,84,3,84,9,13,0.83
6,336,7,84,8,17,0.51
7,84,8,75,9,26,0.83
8,84,4,61,4,8,0.54
9,168,7,84,7,13,0.77
10,168,7,74,8,10,0.6
11,74,3,77,7,13,0.0
12,148,5,61,3,6,0.43
13,0,9,72,8,7,0.89
14,148,8,70,8,15,0.77
15,0,13,66,10,18,0.89
16,210,12,67,7,4,1.0
17,0,13,66,8,9,0.94
18,0,10,62,8,9,0.74
19,62,11,61,6,9,0.66
20,62,13,63,10,13,0.94
21,62,13,59,8,17,0.74
22,124,13,60,10,11,0.89
23,0,14,67,9,12,0.89
24,120,14,74,9,16,0.66
25,60,17,71,8,13,0.77
26,60,13,69,9,12,0.83
27,0,12,45,7,8,0.54
28,69,16,73,9,13,0.66
29,138,16,68,9,9,0.83
30,69,16,69,9,13,0.77
31,0,19,65,9,10,0.83
32,69,17,62,9,11,0.77
33,345,16,74,9,11,0.77
34,69,18,62,8,13,0.74
35,434,16,69,9,19,0.83
36,682,15,70,9,13,0.83
37,682,16,71,8,9,0.54
38,806,18,67,10,21,0.94
39,402,17,61,9,16,0.71
40,1273,9,65,9,12,0.71
41,737,12,74,9,11,0.83
42,1139,15,71,9,20,0.89
43,1491,12,81,8,13,0.77
44,1988,8,90,6,6,0.43
45,1491,9,82,8,14,0.83
46,1846,10,88,5,6,0.66
47,2640,6,77,10,19,0.83
48,0,4,88,9,16,0.69
49,0,7,71,7,13,0.66
50,704,6,78,8,22,0.57
